path,title,last_modified,broken_links,metadata_ok
knowledge/docs/es/symbiotic-process-diagram.md,Diagrama de proceso simbiótico (Español),2025-11-16,0,yes
knowledge/docs/es/wise-tech-approach-visual-representation.md,Enfoque Wise Tech · representación visual,2025-11-16,0,yes
knowledge/docs/es/wise-tech-approach.md,Enfoque Wise Tech (Español),2025-11-16,0,yes
knowledge/docs/guides/_index.md,Guides — Index,2025-11-16,0,yes
knowledge/docs/guides/content-style-guide.md,Content-Style-Guide — Wise Tech,2025-11-16,0,yes
knowledge/docs/guides/contribution-guide.md,Contribution Guide,2025-11-16,0,yes
knowledge/docs/guides/contribution-mentoring.md,Mentoring de contribuciones — Prácticas,2025-11-16,0,yes
knowledge/docs/guides/dev-environment.md,"Dev environment — devcontainer, pre-commit y just",2025-11-16,1,yes
knowledge/docs/guides/dev-stack-local.md,Dev stack local — live docs + OTEL/Jaeger,2025-11-16,0,yes
knowledge/docs/guides/editorial-workflow.md,Editorial-Workflow — Propuesta→Draft→Review→Publish,2025-11-16,0,yes
knowledge/docs/guides/feedback-loops.md,Feedback Loops — Cómo institucionalizar el aprendizaje,2025-11-16,0,yes
knowledge/docs/guides/postmortem-guide.md,Postmortems — Guía práctica,2025-11-16,0,yes
knowledge/docs/guides/quickstart.md,Quickstart,2025-11-16,0,yes
knowledge/docs/guides/resilience-policies.md,Resilience Policies — Cómo usarlas,2025-11-16,0,yes
knowledge/docs/guides/security-minima.md,Security Minimum,2025-11-16,0,yes
knowledge/docs/guides/slo-how-to.md,SLOs & Error Budget — Cómo usarlos,2025-11-16,0,yes
knowledge/docs/guides/style-guide.md,Style Guide,2025-11-16,0,yes
knowledge/docs/guides/taxonomy-tags.md,Taxonomy — Tags permitidos,2025-11-16,0,yes
knowledge/docs/guides/telemetry-minima.md,Telemetría mínima (Dev & Platform),2025-11-16,0,yes
knowledge/docs/guides/versioning-docs.md,Versioning-Docs — Semver básico,2025-11-16,0,yes
knowledge/docs/index.md,The Wise Tech — Docs,2025-11-16,0,yes
knowledge/docs/knowledge/articles/2024-the-year-of-it-team-experience/2024-the-year-of-it-team-experience-links.md,2024 The Year Of It Team Experience Links,2025-11-16,0,yes
knowledge/docs/knowledge/articles/2024-the-year-of-it-team-experience/2024-the-year-of-it-team-experience-practices.md,Practices — 2024: The Year of IT Team Experience,2025-11-16,0,yes
knowledge/docs/knowledge/articles/2024-the-year-of-it-team-experience/2024-the-year-of-it-team-experience-quotes.md,2024 The Year Of It Team Experience Quotes,2025-11-16,0,yes
knowledge/docs/knowledge/articles/2024-the-year-of-it-team-experience/2024-the-year-of-it-team-experience-summary-en.md,2024: The Year of IT Team Experience,2025-11-16,0,yes
knowledge/docs/knowledge/articles/2024-the-year-of-it-team-experience/2024-the-year-of-it-team-experience-summary-es.md,2024: The Year of IT Team Experience,2025-11-16,0,yes
